"","Loss","Attack","Max Corr Var","Max Corr","PredCor-w_dk","MSE-w_dk"
"1","ce","MLLeakAcc","AccDiff","0.854315109839102","0.935718129670611","0.00230704983426758"
"2","mse","MLLeakAcc","AccDiff","0.849320968408438","0.917037619558879","0.00180509935850409"
"3","ce","MLLeakLAcc","AccDiff","0.820891078797036","0.968557716625485","0.0011722033786683"
"4","mse","MLLeakLAcc","AccDiff","0.939748469331834","0.974034351682033","0.000730147002666775"
"5","ce","Top3MLLeakLAcc","CentroidDistance.sorted_3.","0.916642636445036","0.964186256862853","0.00221368975239712"
"6","mse","Top3MLLeakLAcc","AccDiff","0.844721182449017","0.924415254382992","0.00172620986545748"
"7","ce","Top3MLLeakAcc","CentroidDistance.sorted_3.","0.925736642006013","0.966307574196993","0.00116105214021636"
"8","mse","Top3MLLeakAcc","AccDiff","0.874328804284518","0.946638767251272","0.00126031267720992"
"9","ce","Oak17Acc","AccDiff","0.975210391265355","0.981793204201269","0.000645052083150202"
"10","mse","Oak17Acc","AccDiff","0.952572681511162","0.973336399174366","0.000536102262053007"
"11","ce","ThresholdAcc","LossDiff","0.751681549503056","0.973928204379043","0.00090084092132862"
"12","mse","ThresholdAcc","LossDiff","0.982265929179661","0.990601419517429","0.000243930879755265"
"13","ce","MemguardAcc","CentroidDistance.sorted_3.","0.549798728751804","0.661309710044645","0.00281123815862186"
"14","mse","MemguardAcc","AccDiff","0.639721061041008","0.712227371082489","0.00110115539253878"
