,Loss,Attack,Feature,ATE Mean value,ATE p-value,Random Cause Refuter Estimated Effect,Random Cause Refuter New Effect,Placebo Treatment Refuter,Placebo Treatment p_value,Subset Refuter,Subset Refuter p_value,ATE Random Cause Refuter Estimated Effect,ATE Random Cause Refuter New Effect,ATE Subset Refuter,ATE Subset Refuter p_value
43,ce,Top3MLLeakLAcc,TrainLoss,-0.8672771245036894,0.17737021700398606,,,,,,,0.0,0.0,0.0,0.0
44,ce,Top3MLLeakLAcc,TestLoss,0.7228280732227852,4.055405680253529e-06,,,,,,,0.0,0.0,0.0,0.0
45,ce,Top3MLLeakLAcc,TrainVar,-0.3991293219973623,0.029306072550842204,,,,,,,0.0,0.0,0.0,0.0
46,ce,Top3MLLeakLAcc,TestVar,0.7538086363780104,4.853122515326907e-07,,,,,,,0.0,0.0,0.0,0.0
47,ce,Top3MLLeakLAcc,LossDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
48,ce,Top3MLLeakLAcc,AccDiff,0.15782347951722553,4.958869723949432e-54,,,,,,,0.0,0.0,0.0,0.0
49,ce,Top3MLLeakLAcc,NumParams,0.16023897780123098,6.132790651008774e-05,,,,,,,0.0,0.0,0.0,0.0
50,ce,Top3MLLeakLAcc,TrainSize,-0.09709204978263153,5.569788097836733e-08,,,,,,,0.0,0.0,0.0,0.0
51,ce,Top3MLLeakLAcc,CentroidDistance.sorted_3.,0.27530587541334894,6.411435826066114e-19,,,,,,,0.0,0.0,0.0,0.0
52,ce,MLLeakAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
53,ce,MLLeakAcc,TestBias2,3.947627420891898,3.547406911112149e-06,,,,,,,0.0,0.0,0.0,0.0
54,ce,MLLeakAcc,TrainAcc,-0.06393131055651813,0.002020847146259379,,,,,,,0.0,0.0,0.0,0.0
55,ce,MLLeakAcc,TestAcc,-0.47477614381554234,0.686557136056509,,,,,,,0.0,0.0,0.0,0.0
56,ce,MLLeakAcc,TrainLoss,-0.7402631179451765,0.27805052570760186,,,,,,,0.0,0.0,0.0,0.0
57,ce,MLLeakAcc,TestLoss,0.8044885827479971,1.5950608534574868e-05,,,,,,,0.0,0.0,0.0,0.0
58,ce,MLLeakAcc,TrainVar,-0.3385144500131186,0.04253925725847196,,,,,,,0.0,0.0,0.0,0.0
59,ce,MLLeakAcc,TestVar,0.8342118564552644,1.2551398780286954e-06,,,,,,,0.0,0.0,0.0,0.0
60,ce,MLLeakAcc,LossDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
61,ce,MLLeakAcc,AccDiff,0.17980953980937198,4.817611741878307e-58,,,,,,,0.0,0.0,0.0,0.0
62,ce,MLLeakAcc,NumParams,0.16094337055084895,0.00014154034898951578,,,,,,,0.0,0.0,0.0,0.0
63,ce,MLLeakAcc,TrainSize,-0.08900485621610743,1.2397408969582711e-06,,,,,,,0.0,0.0,0.0,0.0
64,ce,MLLeakAcc,CentroidDistance.origin.,0,0,,,,,,,0.0,0.0,0.0,0.0
65,ce,MLLeakLAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
66,ce,MLLeakLAcc,TestBias2,3.3945705941310393,5.1478751826069266e-05,,,,,,,0.0,0.0,0.0,0.0
67,ce,MLLeakLAcc,TrainAcc,-0.020910337983570004,3.8767410509062135e-09,,,,,,,0.0,0.0,0.0,0.0
68,ce,MLLeakLAcc,TestAcc,-0.5271333636681426,0.5594412826328565,,,,,,,0.0,0.0,0.0,0.0
69,ce,MLLeakLAcc,TrainLoss,-0.7436929718991044,0.1207509771074266,,,,,,,0.0,0.0,0.0,0.0
70,ce,MLLeakLAcc,TestLoss,0.7610276361401386,0.0018553828531087033,,,,,,,0.0,0.0,0.0,0.0
71,ce,MLLeakLAcc,TrainVar,-0.23949519478446535,0.019502703768241446,,,,,,,0.0,0.0,0.0,0.0
72,ce,MLLeakLAcc,TestVar,0.8382286582772834,0.000329511960090088,,,,,,,0.0,0.0,0.0,0.0
73,ce,MLLeakLAcc,LossDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
74,ce,MLLeakLAcc,AccDiff,0.18165781462316954,2.032751777575149e-95,,,,,,,0.0,0.0,0.0,0.0
75,ce,MLLeakLAcc,NumParams,0.16066089103259362,1.64449989584003e-05,,,,,,,0.0,0.0,0.0,0.0
76,ce,MLLeakLAcc,TrainSize,-0.10521173558134456,2.0999722601365947e-09,,,,,,,0.0,0.0,0.0,0.0
77,ce,MLLeakLAcc,CentroidDistance.origin.,-0.2877233642540741,1.5331553446711111e-07,,,,,,,0.0,0.0,0.0,0.0
78,ce,ThresholdAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
79,ce,ThresholdAcc,TestBias2,1.6541287205154103,0.00018547251432314096,,,,,,,0.0,0.0,0.0,0.0
80,ce,ThresholdAcc,TrainAcc,-0.08083668566042979,0.044895632154590186,,,,,,,0.0,0.0,0.0,0.0
81,ce,ThresholdAcc,TestAcc,-0.18651335632111876,0.07709042536795516,,,,,,,0.0,0.0,0.0,0.0
82,ce,ThresholdAcc,TrainLoss,0.12704246155531462,0.03505761015359288,,,,,,,0.0,0.0,0.0,0.0
83,ce,ThresholdAcc,TestLoss,0.8920756738606987,0.009336892105406972,,,,,,,0.0,0.0,0.0,0.0
84,ce,ThresholdAcc,TrainVar,0.2026120582092341,0.002190261057023185,,,,,,,0.0,0.0,0.0,0.0
85,ce,ThresholdAcc,TestVar,1.0284143711426017,0.0014418072201104282,,,,,,,0.0,0.0,0.0,0.0
86,ce,ThresholdAcc,LossDiff,1.4711266313734956,0.2476458455203238,,,,,,,0.0,0.0,0.0,0.0
87,ce,ThresholdAcc,AccDiff,0.27145209863062447,5.62946130542291e-83,,,,,,,0.0,0.0,0.0,0.0
88,ce,ThresholdAcc,NumParams,0.13735024350495062,0.132987399470479,,,,,,,0.0,0.0,0.0,0.0
89,ce,ThresholdAcc,TrainSize,-0.08928801986632073,2.642602843171535e-09,,,,,,,0.0,0.0,0.0,0.0
90,ce,ThresholdAcc,CentroidDistance.origin.,-0.4841413074054845,6.255070332090828e-05,,,,,,,0.0,0.0,0.0,0.0
91,mse,MemguardAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
92,mse,MemguardAcc,TestBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
