,Loss,Attack,Feature,ATE Mean value,ATE p-value,Random Cause Refuter Estimated Effect,Random Cause Refuter New Effect,Placebo Treatment Refuter,Placebo Treatment p_value,Subset Refuter,Subset Refuter p_value,ATE Random Cause Refuter Estimated Effect,ATE Random Cause Refuter New Effect,ATE Subset Refuter,ATE Subset Refuter p_value
0,ce,Oak17Acc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
1,ce,Oak17Acc,TestBias2,65.48445176330311,0.32408125068337246,,,,,,,0.0,0.0,0.0,0.0
2,ce,Oak17Acc,TrainAcc,0.19361966114786888,1.687292388792914e-55,,,,,,,0.0,0.0,0.0,0.0
3,ce,Oak17Acc,TestAcc,-0.30826668953552394,2.4734845332602273e-21,,,,,,,0.0,0.0,0.0,0.0
4,ce,Oak17Acc,TrainLoss,-0.21477965588129466,6.417957493032276e-11,,,,,,,0.0,0.0,0.0,0.0
5,ce,Oak17Acc,TestLoss,0.7925966408690687,7.004344589732472e-08,,,,,,,0.0,0.0,0.0,0.0
6,ce,Oak17Acc,TrainVar,-0.040185031768314894,1.2782465115089945e-07,,,,,,,0.0,0.0,0.0,0.0
7,ce,Oak17Acc,TestVar,0.48799646188133283,0.02386105092519134,,,,,,,0.0,0.0,0.0,0.0
8,ce,Oak17Acc,LossDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
9,ce,Oak17Acc,AccDiff,0.2873074551323105,4.6870243886457566e-178,,,,,,,0.0,0.0,0.0,0.0
10,ce,Oak17Acc,NumParams,0.2253078956167054,1.2145389382825292e-10,,,,,,,0.0,0.0,0.0,0.0
11,ce,Oak17Acc,TrainSize,-0.1625859366789828,3.074274459914205e-21,,,,,,,0.0,0.0,0.0,0.0
12,ce,Oak17Acc,CentroidDistance.origin.,0,0,,,,,,,0.0,0.0,0.0,0.0
13,ce,Top3MLLeakAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
14,ce,Top3MLLeakAcc,TestBias2,-45.786706928223694,0.5308538119983403,,,,,,,0.0,0.0,0.0,0.0
15,ce,Top3MLLeakAcc,TrainAcc,-0.011731384428606106,4.41046941403602e-59,,,,,,,0.0,0.0,0.0,0.0
16,ce,Top3MLLeakAcc,TestAcc,-0.6720287665360027,1.3924955392405217e-29,,,,,,,0.0,0.0,0.0,0.0
17,ce,Top3MLLeakAcc,TrainLoss,-0.5769731444777767,0.0002972519010722899,,,,,,,0.0,0.0,0.0,0.0
18,ce,Top3MLLeakAcc,TestLoss,0.7103089932931929,0.24536940139240207,,,,,,,0.0,0.0,0.0,0.0
19,ce,Top3MLLeakAcc,TrainVar,-0.3589372738968594,1.2024575246062646e-05,,,,,,,0.0,0.0,0.0,0.0
20,ce,Top3MLLeakAcc,TestVar,0.11153851707362261,1.112119704529302e-06,,,,,,,0.0,0.0,0.0,0.0
21,ce,Top3MLLeakAcc,LossDiff,0,0,,,,,,,0.0,0.0,0.0,0.0
22,ce,Top3MLLeakAcc,AccDiff,0.22881738957206044,6.948868443319109e-85,,,,,,,0.0,0.0,0.0,0.0
23,ce,Top3MLLeakAcc,NumParams,0.16622857431285243,1.1369209690079844e-07,,,,,,,0.0,0.0,0.0,0.0
24,ce,Top3MLLeakAcc,TrainSize,-0.13217389419856895,4.510477692243948e-13,,,,,,,0.0,0.0,0.0,0.0
25,ce,Top3MLLeakAcc,CentroidDistance.sorted_3.,0.24462428838010342,5.141568150328233e-33,,,,,,,0.0,0.0,0.0,0.0
26,ce,Top3MLLeakLAcc,TrainBias2,0,0,,,,,,,0.0,0.0,0.0,0.0
27,ce,Top3MLLeakLAcc,TestBias2,-58.33149926620827,0.4375406866818221,,,,,,,0.0,0.0,0.0,0.0
28,ce,Top3MLLeakLAcc,TrainAcc,-0.043306459644153916,1.7902601368977783e-54,,,,,,,0.0,0.0,0.0,0.0
29,ce,Top3MLLeakLAcc,TestAcc,-0.657132734515648,2.15084238089546e-27,,,,,,,0.0,0.0,0.0,0.0
30,ce,Top3MLLeakLAcc,TrainLoss,-0.6145791865716271,0.001444952963423234,,,,,,,0.0,0.0,0.0,0.0
